Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/13 14:56:30.00,IMU,-38.09,-4.88,-1002.93,-1.14,-0.45,0.96,-10.35,10.95,-31.95,27.8
2026/04/13 14:56:30.10,IMU,-31.74,-18.55,-1005.86,-3.49,-0.89,1.06,-9.75,11.55,-32.55,27.9
2026/04/13 14:56:30.20,IMU,-45.41,-19.53,-991.21,-2.39,-2.35,-0.75,-9.60,10.95,-31.20,28.0
2026/04/13 14:56:30.30,IMU,-42.48,-6.35,-996.58,-0.85,-2.53,-2.27,-11.10,10.20,-31.65,28.2
2026/04/13 14:56:30.40,IMU,-41.99,-18.07,-1008.30,-1.37,0.21,0.05,-11.40,10.20,-31.95,28.0
2026/04/13 14:56:30.50,IMU,-44.92,-12.21,-1003.91,-0.94,-3.08,-1.38,-10.05,10.50,-32.10,28.2
2026/04/13 14:56:30.60,IMU,-38.57,-9.28,-994.63,-1.49,-0.56,-0.44,-10.05,10.80,-31.80,28.2
2026/04/13 14:56:30.70,IMU,-48.83,-18.07,-993.16,-0.43,-1.53,-0.62,-10.80,10.50,-33.30,27.9
2026/04/13 14:56:30.80,IMU,-28.81,-23.44,-1008.79,-2.18,0.08,0.98,-10.65,11.85,-31.95,28.0
2026/04/13 14:56:30.90,IMU,-32.71,-8.79,-985.84,-0.85,0.40,3.43,-11.40,10.65,-31.65,27.9
2026/04/13 14:56:31.00,IMU,-38.09,-25.88,-998.05,0.06,-1.60,-2.02,-9.00,11.55,-31.05,27.8
2026/04/13 14:56:31.10,IMU,-55.18,-7.32,-1029.30,-1.75,0.08,-2.10,-11.55,11.55,-32.55,28.2
2026/04/13 14:56:31.20,IMU,-34.67,-20.02,-981.45,0.44,-1.49,-0.79,-10.35,11.85,-31.65,28.2
2026/04/13 14:56:31.30,IMU,-48.34,-14.65,-1003.42,-0.31,-4.34,-0.06,-10.05,10.80,-32.85,28.2
2026/04/13 14:56:31.40,IMU,-32.71,-19.04,-997.56,-0.59,-0.23,-0.13,-10.80,10.80,-32.10,28.0
2026/04/13 14:56:31.50,IMU,-44.43,-11.72,-1011.23,-1.96,1.09,-1.63,-9.60,10.20,-30.90,28.0
2026/04/13 14:56:31.61,IMU,-48.34,-10.74,-1000.49,-0.30,0.51,0.79,-10.80,11.25,-32.85,27.8
2026/04/13 14:56:31.71,IMU,-46.39,-15.63,-1004.88,0.13,-2.13,-0.08,-10.50,11.25,-32.55,28.0
2026/04/13 14:56:31.81,IMU,-39.55,-18.55,-1004.39,-1.09,-0.18,-2.50,-9.15,10.95,-31.20,27.8
2026/04/13 14:56:31.91,IMU,-56.15,-11.23,-1000.98,-2.03,-2.02,-1.84,-10.05,10.80,-30.60,28.0
2026/04/13 14:56:32.01,IMU,-33.20,-27.34,-1001.95,-2.09,0.29,-2.18,-10.65,10.20,-32.40,27.9
2026/04/13 14:56:32.11,IMU,-49.80,-17.09,-1007.32,-1.50,0.60,-0.96,-9.75,8.85,-31.80,28.1
